i	a_i	b_i	B_i	n_i	C_i	D_i	A_i	beta_i
55	3.5	0.85	0.2	-1.4874640856724E-01	28	700	0.32	0.3
56	3.5	0.95	0.2	3.1806110878444E-01	32	800	0.32	0.3
